12000145,11715187,13691914,2555424,2322300,8814190,19.82,75.24,16.96,64.38
12000146,10974068,12177165,3012152,1736699,7428314,15.83,67.69,14.26,61.00
12000147,11535707,12901907,2227380,2458747,8215780,21.31,71.22,19.06,63.68
12000148,11710901,12992750,2521096,1987550,8484104,16.97,72.45,15.30,65.30
12000150,10515174,11986999,1809248,1337544,8840207,12.72,84.07,11.16,73.75
12000151,10277976,11576448,2286708,1429975,7859765,13.91,76.47,12.35,67.89
12000152,10134840,11448540,2560304,2418342,6469894,23.86,63.84,21.12,56.51
12000153,11539688,12960344,2205336,1866355,8888653,16.17,77.03,14.40,68.58
12000154,9672423,11322357,2946916,1925848,6449593,19.91,66.68,17.01,56.96
12000155,9842701,11256531,2975584,1517139,6763808,15.41,68.72,13.48,60.09
12000156,11026943,12585264,2915048,1903143,7767073,17.26,70.44,15.12,61.72
12000157,9448703,10323733,2761800,1298494,6263439,13.74,66.29,12.58,60.67
12000158,11223482,12660482,2473456,2377578,7809448,21.18,69.58,18.78,61.68
12000159,9407087,10676687,2477128,1806081,6393478,19.20,67.96,16.92,59.88
12000160,11685145,13316605,2690908,1981242,8644455,16.96,73.98,14.88,64.91
12000161,11579294,13071046,2418960,2317725,8334361,20.02,71.98,17.73,63.76
12000162,12289389,13611189,2818740,1956809,8835640,15.92,71.90,14.38,64.91
12000163,10589246,12059121,2950640,1527368,7581113,14.42,71.59,12.67,62.87
12000164,11183226,12442316,2779072,2142054,7521190,19.15,67.25,17.22,60.45
12000165,11386034,13255246,2823448,1998273,8433525,17.55,74.07,15.08,63.62
12000166,9530107,10929338,3150740,1411717,6366881,14.81,66.81,12.92,58.25
12000167,11715581,13345619,2799640,2149023,8396956,18.34,71.67,16.10,62.92
12000168,11658883,12903900,2819472,2007575,8076853,17.22,69.28,15.56,62.59
12000169,11544056,13152836,2551372,2131626,8469838,18.47,73.37,16.21,64.40
12000170,11834258,13525292,2829332,2267401,8428559,19.16,71.22,16.76,62.32
12000171,10757762,12056756,2928696,1692333,7435727,15.73,69.12,14.04,61.67
12000172,11739249,13486587,3021544,2237898,8227145,19.06,70.08,16.59,61.00
12000173,10507671,12305434,2338880,2031992,7934562,19.34,75.51,16.51,64.48
12000174,11664980,13547517,2498352,2457640,8591525,21.07,73.65,18.14,63.42
12000175,11222689,13765112,2592496,2037272,9135344,18.15,81.40,14.80,66.37
12000176,11791829,13304874,2674100,2125482,8505292,18.03,72.13,15.98,63.93
12000177,8989281,10095971,2162192,1523699,6410080,16.95,71.31,15.09,63.49
12000178,11427232,12754032,2995576,1822009,7936447,15.94,69.45,14.29,62.23
12000179,9875128,11730848,3005704,1729244,6995900,17.51,70.84,14.74,59.64
12000180,8489727,10537590,2996612,1589267,5951711,18.72,70.10,15.08,56.48
12000181,10884560,12162467,2294960,1523128,8344379,13.99,76.66,12.52,68.61
12000182,11446303,13015159,2770300,2199644,8045215,19.22,70.29,16.90,61.81
12000183,10978324,13348313,2469016,2499688,8379609,22.77,76.33,18.73,62.78
12000184,11121537,12449922,2683220,1852446,7914256,16.66,71.16,14.88,63.57
12000185,9615148,11733251,2869692,1777314,7086245,18.48,73.70,15.15,60.39
12000186,10864348,12134609,2459900,2003133,7671576,18.44,70.61,16.51,63.22
12000187,10870855,12200988,2932720,1691008,7577260,15.56,69.70,13.86,62.10
12000188,11981691,13746295,3304332,2059688,8382275,17.19,69.96,14.98,60.98
12000189,11552250,12992850,2896488,2283513,7812849,19.77,67.63,17.58,60.13
12000190,11756282,13185538,3021556,1994572,8169410,16.97,69.49,15.13,61.96
12000191,11016561,12654510,2706056,1975139,7973315,17.93,72.38,15.61,63.01
12000192,10321859,11888995,3114776,1488127,7286092,14.42,70.59,12.52,61.28
12000193,11290981,12972769,2744312,2069726,8158731,18.33,72.26,15.95,62.89
12000194,11267543,12739430,2718592,1851769,8169069,16.43,72.50,14.54,64.12
12000195,12004688,13592467,2666564,2320981,8604922,19.33,71.68,17.08,63.31
12000196,12123494,13814294,2807816,1901445,9105033,15.68,75.10,13.76,65.91
